full_name,short_name,system,state,accepts_email,email,website,had_encampment,has_sjp,sjp_name,chancellor_name,has_police,police_chief,term,has_undergraduate,is_system
"University of California, Office of the President",UCOP,University of California,California,TRUE,pra@ucop.edu,,TRUE,TRUE,SJP,President Michael Drake,TRUE,Jody Stiger,,FALSE,TRUE
"University of California, Davis",UCD,University of California,California,TRUE,publicrecords@ucdavis.edu,,TRUE,TRUE,SJP,Chancellor Gary May,TRUE,Joe Farrow,Quarter,TRUE,FALSE
"University of California, Berkeley",UCB,University of California,California,TRUE,pra@berkeley.edu,,TRUE,TRUE,SJP,Chancellor Rich Lyons,TRUE,Yogananda Pittman,Semester,TRUE,FALSE
"University of California, Los Angeles",UCLA,University of California,California,TRUE,records@ucla.edu,,TRUE,TRUE,SJP,Chancellor Julio Frenk,TRUE,Scott Scheffler,Quarter,TRUE,FALSE
"University of California, San Diego",UCSD,University of California,California,FALSE,,https://ucsd.govqa.us/WEBAPP/_rs/(S(cutolcqc5mqq3dvvtyjp1n3p))/RequestLogin.aspx,TRUE,TRUE,SJP,Chancellor Pradeep Khosla,TRUE,Lamine Secka,Quarter,TRUE,FALSE
"University of California, Irvine",UCI,University of California,California,TRUE,pra@uci.edu,,TRUE,TRUE,SJP,Chancellor Howard Gillman,TRUE,Elizabeth Griffin,Quarter,TRUE,FALSE
"University of California, Santa Barbara",UCSB,University of California,California,TRUE,pra@campuscounsel.ucsb.edu,,TRUE,TRUE,SJP,Chancellor Henry Yang,TRUE,Alex Yao,Quarter,TRUE,FALSE
"University of California, Santa Cruz",UCSC,University of California,California,TRUE,pra@ucsc.edu,,TRUE,TRUE,SJP,Chancellor Cynthia Larive,TRUE,Kevin Domby,Quarter,TRUE,FALSE
"University of California, San Francisco",UCSF,University of California,California,TRUE,cpra@ucsf.edu,,TRUE,TRUE,SJP,Chancellor Sam Hawgood,TRUE,Mike Denson,Quarter,FALSE,FALSE
"University of California, Riverside",UCR,University of California,California,TRUE,publicrecords@ucr.edu,,TRUE,TRUE,SJP,Chancellor Kim Wilcox,TRUE,Jeffrey Talbott,Quarter,TRUE,FALSE
"University of California, Merced",UCM,University of California,California,TRUE,publicrecords@ucmerced.edu,,TRUE,TRUE,SJP,Chancellor Juan Munoz,TRUE,Chou Her,Semester,TRUE,FALSE
"University of California, Agriculture and Natural Resources",UCANR,University of California,California,TRUE,rgsanchez@ucanr.edu,,FALSE,FALSE,,,FALSE,,,FALSE,FALSE
Lawrence Berkeley National Labs,LBNL,University of California,California,TRUE,azulkowski@lbl.gov,,FALSE,FALSE,,,FALSE,,,FALSE,FALSE
"California State University, Office of the Chancellor",CSUOC,California State University,California,TRUE,co-pra@calstate.edu,,TRUE,TRUE,SJP,Chancellor Mildred Garcia,TRUE,Melinda Latas,,FALSE,TRUE
"California State University, Bakersfield",CSUB,California State University,California,TRUE,publicrecordsrequest@csub.edu,,TRUE,TRUE,SJP,President Vernon Harper,TRUE,Maricela Gonzalez,Semester,TRUE,FALSE
"California State University, Channel Islands",CSUCI,California State University,California,FALSE,csuci@hello.edu,,TRUE,TRUE,SJP,President Richard Yao,TRUE,Drake Massey,Semester,TRUE,FALSE
Chico State University,CSUChico,California State University,California,TRUE,pra@csuchico.edu,,FALSE,TRUE,SJP,President Steve Perez,TRUE,Chris Nicodemus,Semester,TRUE,FALSE
"California State University, Dominguez Hills",CSUDH,California State University,California,FALSE,,https://forms.office.com/pages/responsepage.aspx?id=J6dmGolzJ0eoy_JJrI5_-MfmcR8t3ddCiw4cZoQ92M1UMTE1N1NQWFFDSlQ3OFQ4RE81M0JBQzdQMy4u,FALSE,TRUE,SJP,President Thomas Parham,TRUE,Carlos Velez,Semester,TRUE,FALSE
"California State University, East Bay",CSUEB,California State University,California,TRUE,recordsrequest@csueastbay.edu,,FALSE,FALSE,,President Cathy Sandeen,TRUE,Omar Miakhail,Semester,TRUE,FALSE
Fresno State University,CSUFresno,California State University,California,TRUE,estherg@csufresno.edu,,TRUE,TRUE,SPL,President Saul Sandoval,TRUE,Anthony Martinez,Semester,TRUE,FALSE
"California State University, Fullerton",CSUF,California State University,California,TRUE,publicrecord@fullerton.edu,,TRUE,TRUE,SJP,President Ronald Rochon,TRUE,Anthony Frisbee,Semester,TRUE,FALSE
Cal Poly Humboldt,CalPolyHumboldt,California State University,California,TRUE,publicrecordsrequest@humboldt.edu,,TRUE,FALSE,,President Michael Spagna,TRUE,Greg Allen,Semester,TRUE,FALSE
"California State University, Long Beach",CSULB,California State University,California,TRUE,publicrecords@csulb.edu,,TRUE,TRUE,SJP,President Jane Conoley,TRUE,John Brockie,Semester,TRUE,FALSE
"California State University, Los Angeles",CSULA,California State University,California,TRUE,pra@calstatela.edu,,TRUE,TRUE,SJP,President Berenecea Johnson,TRUE,Larry Bohannon,Semester,TRUE,FALSE
"California State University, Monterey Bay",CSUMB,California State University,California,TRUE,pra@csumb.edu,,TRUE,TRUE,SJP,President Vanya Quinones,TRUE,Yvonne Gordon,Semester,TRUE,FALSE
"California State University, Northridge",CSUN,California State University,California,TRUE,pra@csun.edu,,TRUE,TRUE,SJP,President Erika Beck,TRUE,Alfredo Fernandez,Semester,TRUE,FALSE
Cal Poly Pomona,CalPolyPomona,California State University,California,TRUE,publicrecords@cpp.edu,,TRUE,TRUE,SJP,President Soraya,TRUE,Linh Dinh,Semester,TRUE,FALSE
Sacramento State University,CSUS,California State University,California,TRUE,csus@hello.edu,,TRUE,TRUE,SJP,President Luke Wood,TRUE,Chet Madison,Semester,TRUE,FALSE
"California State University, San Bernardino",CSUSB,California State University,California,TRUE,public.records@csusb.edu,,TRUE,TRUE,SJP,President Tomas Morales,TRUE,John Guttierez,Semester,TRUE,FALSE
San Diego State University,SDSU,California State University,California,TRUE,jvictorio@sdsu.edu,,TRUE,TRUE,SJP,President Adela de la Torre,TRUE,Gregory Murphy,Semester,TRUE,FALSE
San Francisco State University,SFSU,California State University,California,TRUE,sfstatepra@sfsu.edu,,TRUE,TRUE,SJP,President Lynn Mahoney,TRUE,Reggie Parson,Semester,TRUE,FALSE
